#心中的古装剧Top1#,Query time: 2023-12-21 20:13:26
95唯一top虞书欣太厉害了❣️扛剧花名不虚传！💯云为衫微博角色指数峰值97.35❗️23年95后演员TOP1❗️云为衫猫眼角色热度峰值10170❗️23年猫眼古装剧分类角 95唯一top虞书欣太厉害了❣️扛剧花名不虚传！💯云为衫微博角色指数峰值97.35❗️23年95后演员TOP1❗️云为衫猫眼角色热度峰值10170❗️23年猫眼古装剧分类角色热度最高‼️云为衫德塔文角色贡献度断层第一❗️播出期间基本保持在40%+❗️并刷出54%的峰值‼️连续三周霸榜TOP1‼️💯💯,2023-12-09 21:59
现在才看莲花楼，本人年度古装剧top1了，被创飞了，立意真好啊 ,2023-12-09 20:01
今年的古装剧top3（个人）top3:云之羽top2:一念关山top1:莲花楼（这必须是第一 毋庸置疑的） ,2023-12-09 00:12
怎么还有人偷宁安宫啊破防就破防 偷人东西算什么11月猫眼热度最高古装剧角色姜雪宁🔥 微博演员11月表现力TOP1🔥 白鹿双角色包揽冠亚🔥 白鹿宁安如梦角色热度三连冠🔥 白鹿修炼抗剧硬实力🔥 ,2023-12-11 20:30
❄️11月猫眼热度最高古装剧角色姜雪宁🔥微博演员11月表现力TOP1🔥白鹿双角色包揽冠亚🔥白鹿宁安如梦角色热度三连冠🔥白鹿修炼抗剧硬实力🔥 ,2023-12-11 20:21
一念关山的一是一个剧组的一，是编剧、导演、灯光师、剪辑组以及无数个兢兢业业努力的工作人员共同组成的一。恭喜一念关山，首播6集当天热度破🥝2023热度记录。同时，恭喜兢兢业业的原声演员刘宇宁，第一部古装剧就取得好成绩，宁远舟v榜指数连续TOP1，刘宇宁微信 一念关山的一是一个剧组的一，是编剧、导演、灯光师、剪辑组以及无数个兢兢业业努力的工作人员共同组成的一。恭喜一念关山，首播6集当天热度破🥝2023热度记录。同时，恭喜兢兢业业的原声演员刘宇宁，第一部古装剧就取得好成绩，宁远舟v榜指数连续TOP1，刘宇宁微信热度指数破亿❗️,2023-12-12 15:27
我还是觉得，朱正廷目前的妆造top1是冰球少年的中长发，现代剧角色都不错，唯一的缺点就是播放量。古装剧还未发力，不知道苏记演的如何了 ,2023-12-12 02:53
莲花楼真的特别好看 我愿称之为23年古装剧TOP1 成毅真的演绎的特别好,2023-12-13 23:35
2023年12部热门古装剧中，哪一部是你的年度top1？《长相思》杨紫、张晚意、邓为、檀健次《长月烬明》罗云熙、白鹿、陈都灵、邓为《长风渡》白敬亭、宋轶《安乐传》迪丽热巴、龚俊《莲花楼》成毅、曾舜晞、肖顺尧《宁安如梦》白鹿、张凌赫《玉骨遥》肖战 2023年12部热门古装剧中，哪一部是你的年度top1？《长相思》杨紫、张晚意、邓为、檀健次《长月烬明》罗云熙、白鹿、陈都灵、邓为《长风渡》白敬亭、宋轶《安乐传》迪丽热巴、龚俊《莲花楼》成毅、曾舜晞、肖顺尧《宁安如梦》白鹿、张凌赫《玉骨遥》肖战、任敏《一念关山》刘诗诗、刘宇宁《云之羽》虞书欣、张凌赫、丞磊、卢昱晓《七时吉祥》杨超越、丁禹兮《护心》侯明昊、周也《古相思曲》张雅钦、郭迦南,2023-12-13 20:09
杨紫半部长相思，年底收获有：2023国产剧集热度top1⃣️2023女性向古装剧热度指数top1⃣️2023剧集演员综合热度女演员top1⃣️太牛啦！长相思第二季赶紧来吧好期待！ ,2023-12-14 23:01
恭喜杨紫长相思成为年度最热剧集， 2023女性向古装剧热度指数top1 杨紫：2023年剧集演员综合女演员top1。,2023-12-14 20:11
简化腾讯娱乐白皮书关于杨紫大女主剧《长相思》的部分，总结一下：《长相思》年度剧王、现象级爆款古装剧！90后top1女演员、top1顶流花！,2023-12-14 20:00
杨紫 :2023剧集演员综合热度女演员top12023品牌力价值女明星top22023商业热度指数top12023剧集角色热度女演员top1长相思 :2023年度最热剧集top12023女性向古装剧热度指数top1怎么不算全面开花呢yz,2023-12-14 19:33
恭喜杨紫长相思成为年度最热剧集，2023女性向古装剧热度指数top1杨紫：2023年剧集演员综合女演员top1。,2023-12-14 18:22
2023年剧集演员综合热度女演员TOP1     杨紫2023年女性向古装剧热度指数TOP1   长相思2023年国产剧集热度TOP1                 长相思扛剧大女主杨紫优秀现象级大爆剧长相思优秀2023年剧集演员综合热度女演员TOP1     杨紫2023年女性向古装剧热度指数TOP1   长相思2023年国产剧集热度TOP1                 长相思扛剧大女主杨紫优秀现象级大爆剧长相思优秀,2023-12-14 16:51
其实我们但凡大胆一点就发现刘亦菲达到的标准内娱谁也达不到。随便举个例子，阔别十六年回归剧圈。无市场检索前例，回归就爆炸红，梦华录+去有风的地方两连爆，招商能蝉联top1。梦华录剧王，破圈层古装剧，有风直接是开创田园治愈系的收益新指标。这个题材冷门不重要，刘亦菲演了就热门了。你们 其实我们但凡大胆一点就发现刘亦菲达到的标准内娱谁也达不到。随便举个例子，阔别十六年回归剧圈。无市场检索前例，回归就爆炸红，梦华录+去有风的地方两连爆，招商能蝉联top1。梦华录剧王，破圈层古装剧，有风直接是开创田园治愈系的收益新指标。这个题材冷门不重要，刘亦菲演了就热门了。你们仙粉以为这个很容易吗，除了刘亦菲找不到第二个啊，为什么要被别人踩啊算老几也敢踩我们。单抗破圈层的古装剧王是她，让治愈系田园变大热门是她，单拎出来难以复制是她，加在一起没人做的到，但是菲做到了。,2023-12-14 12:52
☁️我们罗云熙一番主演的大爆剧长月烬明起风了，今夜一定非常难熬,2023-12-15 23:45
提名步步惊心,2023-12-15 22:42
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-15 16:18
论有效播剧——杨紫半部长相思，收获有：2023国产剧集热度top1⃣️2023女性向古装剧热度指数top1⃣️2023剧集演员综合热度女演员top1⃣️太牛啦！长相思第二季赶紧来吧或者要久久爱好期待！ ,2023-12-15 14:25
恭喜杨紫长相思成为年度最热剧集，2023女性向古装剧热度指数top1杨紫：2023年剧集演员综合女演员top1。,2023-12-15 09:43
“这些古装剧哪部是你的top1”,2023-12-16 16:18
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效 年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-16 12:15
//:收视率和票房号召力都是top1，杨幂宫收视率2.5，亲爱的翻译官收视率2.04，古装剧宫85花古装最高收视率保持者，亲爱的翻译官16年央卫年冠，一番破一电视剧10部，一番破二电视剧2部，一番电影票房24.9亿，不愧是85后85花top1的存在，也是内娱爆剧最多的女演员,2023-12-16 09:27
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S 年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-17 17:35
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S 年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-17 15:07
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S 年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-17 14:57
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S 年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-17 13:57
宝子CX有多扛打，实力摆在这儿呢！热度冲到总榜、电视剧飙升榜二个 Top1 还拿下了古装剧Top2的高位，并且位列独播剧总榜前六了好演员不怕时间的考验，两位扛剧生的魅力一直在！,2023-12-17 11:28
严谨一点，最好看的一部古装剧。 比不了狂飙。 但是古装剧在我这已经top1了。,2023-12-17 00:16
第一次完整的追完古装剧，碰见了我见过最好的六道堂小分队，我很喜欢，最后的结局有一种全死即是he的感觉，赚足了我眼泪，没人知道宁远舟如何从一个小孩子成长成六道堂副堂主的，这部剧肯定是我心里的top1，谢谢宁哥，谢谢所有参演的演员。我真的会沉浸在宁远舟的世界里,2023-12-18 23:03
年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S 年仅23岁贡4部一番剧成绩亮眼。上星剧胡同cvb1.351，第一单元一番女主拉高全剧平均收视。3部一番网剧以小博大超高回报。陈芊芊抖音剧集热议角色年榜top1，二登腾讯财报；一不小心捡到爱b级剧拿到优酷现偶年冠，国子监来了个女弟子wetv古装剧年冠，A级剧播出效果云合评级S+,2023-12-18 00:01
一集不落的追下来我觉得这是23年古装剧top1，原创剧本➕主演颜值都在线吸引去的，纯剧粉，真的每一个角色都很好，呜呜呜就是泪点太低了费纸巾，杨盈的成长线，偶尔的师徒线捡破烂，使团小队，互相理解尊重的主CP感情线……反正就是无论其他人怎么吐槽，我都觉 一集不落的追下来我觉得这是23年古装剧top1，原创剧本➕主演颜值都在线吸引去的，纯剧粉，真的每一个角色都很好，呜呜呜就是泪点太低了费纸巾，杨盈的成长线，偶尔的师徒线捡破烂，使团小队，互相理解尊重的主CP感情线……反正就是无论其他人怎么吐槽，我都觉得一念关山从头到尾都好看，期待明晚的超点,2023-12-18 00:00
天下非妖之天下，非人之天下，乃是众生之天下！期待演绎少年天才，王权世家最强道门兵人一气道盟的终极兵器王权富贵，期待成毅优秀作品,2023-12-19 23:50
//:玉骨遥真的很好看！立意高，格局大，故事动人，不是小情小爱，而是把天下苍生放在最高。,2023-12-19 22:45
玉骨遥真的很好看！立意高，格局大，故事动人，不是小情小爱，而是把天下苍生放在最高。,2023-12-19 22:12
心中的古装剧Top1期待大梦归离！期待卓翼宸！田嘉瑞真的太帅了好爱啊啊啊,2023-12-19 17:04
心中的古装剧Top1谁懂啊，陈都灵身上的宿命感，还有这个眼神把人魂都勾没了！！陈都灵程潇 青蛇白蛇 ,2023-12-19 16:23
✨✨Day 09古装剧肯定top1喜欢吖不过也很期待王哥的现代剧！总之什么剧都喜欢希望王哥可以再出演一次话剧！尊嘟很想去现场看！✨王星越✨王星越暗影侦探✨王星越关岑✨✨王星越✨王星越在暴雪时分✨王星越孟晓东✨✨王星越✨王星越墨雨 ✨✨Day 09古装剧肯定top1喜欢吖不过也很期待王哥的现代剧！总之什么剧都喜欢希望王哥可以再出演一次话剧！尊嘟很想去现场看！✨王星越✨王星越暗影侦探✨王星越关岑✨✨王星越✨王星越在暴雪时分✨王星越孟晓东✨✨王星越✨王星越墨雨云间✨王星越萧蘅✨,2023-12-19 15:42
我的评分：好看好看除了结局都好看，不过角色本身不算有遗憾了也挺好，（创的是观众而已）是今年国产古装剧我的top1了，要不然除了长相思宁安如梦看了大概，我就只看韩剧了,2023-12-19 02:20
真爆剧长月烬明啊！各榜单无短板！全球烬化,2023-12-21 00:00
《陈情令》真的看n遍都不腻,2023-12-20 23:59
这里不得不给《玉骨遥》打call ,2023-12-20 23:59
任嘉伦的古装剧呀！部部精品，长尾牛大唐荣耀，锦衣之下，周生如故，每个角色都让剧粉念念不忘爱奇艺无忧渡，武庚纪，腾讯流水迢迢搞快点,2023-12-20 23:59
,2023-12-20 23:59
絕對是真情實感的陳情令啊,2023-12-20 23:59
//://://://://://:,2023-12-20 23:59
龚俊饰演的太子韩烨，在我心里无可替代的一个角色gj,2023-12-20 23:59
沉香如屑成毅,2023-12-20 23:59
“ 辰此一生，不负天下，唯负十一” ,2023-12-20 23:58
还有任嘉伦 ,2023-12-20 23:58
韩氏韩烨，以凡人之躯比肩神明，谁能当得？唯他而已。他是让不喜欢这类人设的观众也会为他共情的人。私以为这就是演员的真正的成功。,2023-12-20 23:58
陈情令，yyds,2023-12-20 23:58
那必然是甄嬛传 ,2023-12-20 23:58
陈情令yyds！//:永远的陈情令,2023-12-20 23:58
放在以前引不起我任何注意，因为跟我无关。但是今年，有了刘宇宁的宁远舟，一念关山就必须是这个top,2023-12-20 23:58
也不算top1但是最近好爱《繁城之下》,2023-12-20 23:58
。这些热榜上的我一个也不觉得牛逼。这么多年了第一名还是仙剑 ,2023-12-20 23:58
莲花楼,2023-12-20 23:58
虽然但是 广场上几乎都是粉丝闭眼瞎吹吧 有的剧都烂成啥样了还吹呢  以为会有什么好看的 结果…… ,2023-12-20 23:58
有谁没看过任嘉伦的《大唐荣耀》《锦衣之下》《周生如故》这种经典之作呢他还有民国剧《秋蝉》《请君》也挺好看的现代剧《一生一世》里面的周生辰真的是很绝！！！待播剧是三种不同类型的古装，每一个都好想看,2023-12-20 23:58
